occurrenceNo,includedInConsistencyEvaluation,humanAnchorText,humanLocationDescription,humanAnchorGranularity,actualEvidenceText,actualAnchorGranularity,actualAnchorReference,coverageResult,notes
"001-PA-01",true,"发包方（甲方）：奔腾公司","第1页：  发包方（甲方）：            奔腾公司        、","TABLE_CELL",,"UNAVAILABLE",,NOT_OBSERVABLE,"human location/context 无法唯一投影到 actual element"
"001-PA-02",true,"发包方(以下简称甲方)：      奔腾公司","第2页： 发包方(以下简称甲方)：      奔腾公司    、","BLOCK",,"UNAVAILABLE",,NOT_OBSERVABLE,"human location/context 无法唯一投影到 actual element"
"001-PA-03",true,"甲方：   奔腾公司","第8页 甲方：   奔腾公司                       （公章） 、","TABLE_CELL",,"UNAVAILABLE",,NOT_OBSERVABLE,"human location/context 无法唯一投影到 actual element"
"001-PA-04",true,"甲方：      奔腾公司","第9页 甲方：      奔腾公司                      (盖章) 法定代表人：            日期：   年    月     日 、","TABLE_CELL",,"UNAVAILABLE",,NOT_OBSERVABLE,"human location/context 无法唯一投影到 actual element"
"001-PA-05",true,"甲方（全称）： 奔腾公司","第13页 阳光合作协议 (2025年10月起签署版本)  甲方（全称）：      奔腾公司","BLOCK",,"UNAVAILABLE",,NOT_OBSERVABLE,"human location/context 无法唯一投影到 actual element"
"001-PA-06",true,"甲方:      奔腾公司","第13页 ;（以下无正文，为《阳光合作协议》签署页）甲方:      奔腾公司","BLOCK",,"UNAVAILABLE",,NOT_OBSERVABLE,"human location/context 无法唯一投影到 actual element"
"001-PA-07",false,"奔腾公司企鹅岛项目三标段","第1页，合同标题中的公司名称提及","BLOCK",,"UNAVAILABLE",,EXCLUDED,"人工冻结排除项；不读取 actual、不影响 PointStatus"
"001-PA-08",false,"甲乙双方签署了《 奔腾公司企鹅岛项目三标段","第13页，阳光合作协议前言中的合同名称提及","BLOCK",,"UNAVAILABLE",,EXCLUDED,"人工冻结排除项；不读取 actual、不影响 PointStatus"
"001-PB-01",true,"承包方（乙方）：	           前水公司","第1页 承包方（乙方）：	           前水公司","TABLE_CELL",,"UNAVAILABLE",,NOT_OBSERVABLE,"human location/context 无法唯一投影到 actual element"
"001-PB-02",true,"承包方(以下简称乙方)：      前水公司","第3页 承包方(以下简称乙方)：      前水公司","BLOCK",,"UNAVAILABLE",,NOT_OBSERVABLE,"human location/context 无法唯一投影到 actual element"
"001-PB-03",true,"乙方：       前水公司                    （公章）","第8页 乙方：       前水公司                    （公章）","TABLE_CELL",,"UNAVAILABLE",,NOT_OBSERVABLE,"human location/context 无法唯一投影到 actual element"
"001-PB-04",true,"尊敬的前水公司","第9页 尊敬的前水公司","TABLE_CELL",,"UNAVAILABLE",,NOT_OBSERVABLE,"human location/context 无法唯一投影到 actual element"
"001-PB-05",true,"乙方（全称）：     前水公司","第24页 乙方（全称）：     前水公司","BLOCK",,"UNAVAILABLE",,NOT_OBSERVABLE,"human location/context 无法唯一投影到 actual element"
"001-PB-06",true,"乙方:        前水公司","第24页  乙方:        前水公司","BLOCK",,"UNAVAILABLE",,NOT_OBSERVABLE,"human location/context 无法唯一投影到 actual element"
"001-AMT-01",true,"1、 合同固定总价：¥ 8848      元","第3页 合同固定总价：¥ 8848      元，大写：人民币   捌仟捌佰肆拾捌元整      元","BLOCK",,"UNAVAILABLE",,NOT_OBSERVABLE,"human location/context 无法唯一投影到 actual element"
"001-AMT-02",true,"8848","第9页，签约通知书表格“金额（元）”列","TABLE_CELL",,"UNAVAILABLE",,NOT_OBSERVABLE,"human location/context 无法唯一投影到 actual element"
